0	43.879739	0
1	41.556192	0
2	73.028175	1
3	29.145276	1
4	32.108753	2
5	63.936928	2
6	47.817016	2
7	45.703579	3
8	26.217268	4
9	43.726082	4
10	47.416085	5
11	62.582508	5
12	50.050381	7
13	5.000000	10
14	46.813790	11
15	39.490324	15
16	44.462963	16
17	68.486075	18
18	51.876819	18
19	60.084489	20
20	69.807478	29
21	42.602377	34
22	63.622573	37
23	45.210363	41
24	53.115936	43
25	32.983120	43
26	28.130439	45
27	65.113832	49
28	29.359334	52
29	73.484304	53
30	28.664539	58
31	62.068021	58
32	46.531879	61
33	51.083513	61
34	36.668659	61
35	63.463954	65
36	66.675539	66
37	55.445126	67
38	5.000000	68
39	43.872941	69
40	41.745026	70
41	8.064813	80
42	70.682296	84
43	51.925972	85
44	57.272568	92
45	42.476984	94
46	48.625537	96
47	74.589655	97
48	56.376108	97
49	6.144688	98
