0	25.733702	5
3	27.474537	5
47	20.736143	6
36	11.137379	11
8	28.480929	14
11	21.584687	15
2	27.077660	19
14	24.900619	21
31	24.172452	21
35	8.824779	22
46	16.011720	23
16	20.744135	24
23	8.820132	27
6	26.464831	28
48	24.768521	28
15	5.610635	31
40	15.110028	31
7	14.961649	35
13	20.166539	41
41	23.648386	42
28	16.367483	43
37	21.704712	43
29	6.302140	44
32	21.933682	48
24	25.822279	49
26	21.721841	51
12	8.182195	53
25	27.291039	53
34	5.316304	53
18	22.397794	59
20	23.591386	60
39	23.001867	62
9	15.909847	65
22	12.992739	69
43	11.912491	75
38	13.508471	76
49	12.634506	79
21	18.032495	80
27	19.797319	84
19	25.035415	85
30	8.155524	85
33	24.312022	87
1	16.045888	90
44	12.556690	90
10	18.461300	92
5	5.619659	94
4	29.345926	95
42	12.888699	95
45	8.156987	96
17	23.774112	98
